"","PGC","GC","OSNs","M_TC","EPL-IN"
"1","Nrsn1","Pcp4","Nr2f2","Cdr1","Uchl1"
"2","Cck","Nrgn","Scd1","Slc1a2","Shisa3"
"3","Shisa9","Penk","Apod","Shank1","Reln"
"4","Nap1l5","Rbfox3","Fabp7","Atp1a2","Ntng1"
"5","Aqp4","Cpne4","Igfbp5","Dio2","Slc17a7"
"6","AI593442","Mbp","Hmgcs2","Map1a","Nefm"
"7","Eomes","Gda","Gng13","Gm20594","Cacnb4"
"8","Gria1","Gng4","S100a5","Pla2g7","A230065H16Rik"
"9","Msi2","Gpsm1","Omp","Luzp2","Cdhr1"
"10","Calb2","Camk2b","Frzb","Slc6a11","Gabrb2"
"11","Rcn2","Camk2n1","Ccnd2","Kcnj16","Spp1"
"12","Th","Sez6","Atf5","Rasl10b","Ptprd"
"13","Apold1","Grb2","Lpar1","Doc2g","Gabra1"
"14","Vsnl1","Icam5","Hey2","Gap43","Lynx1"
"15","Ncan","Psd","Ahcyl2","Kcnj10","Unc80"
"16","Trnp1","Tshz1","Mcf2l","Gldc","Sv2b"
"17","Sparcl1","Atp1a1","Kctd12","Paqr8","Ralyl"
"18","Shisa6","Gm13889","Sash1","Slc1a3","Map1b"
"19","Zic1","Agap2","Pmepa1","Vip","Elavl2"
"20","Abat","Egr1","Kif5b","Ppp1r16b","Thy1"
"21","Glud1","Ube2ql1","Sh3pxd2a","Apln","Plch2"
"22","Pip5k1b","Tubb2b","Aspa","Ednrb","Tnfaip8"
"23","Pde5a","Ppm1e","Sorbs1","Hopx","Stmn3"
"24","X2900097C17Rik","Grin1","Nudt4","Ddn","Pclo"
"25","Hlf","Fscn1","Plekhb1","Tmem47","Lrrc55"
"26","Mt2","Nrep","Ptn","Ppp1r9b","Kcnc1"
"27","Myo5a","Ctxn1","Plp1","Ppap2b","Stmn2"
"28","Gpm6b","Prkcb","Gpt2","Ndrg2","Chgb"
"29","Dnm3","Baiap2","Foxd3","Serpine2","Ms4a15"
"30","Gfap","Fkbp1a","Plce1","Htra1","Prune2"
"31","Chst2","Calm2","Fmo1","Abhd3","Nrn1"
"32","Olfm1","Rbfox1","Cnn3","Glul","Atrnl1"
"33","Slc6a1","Prkca","X2310022B05Rik","Itpr2","Nsf"
"34","Iqsec1","Hpcal4","Gsn","Fam107a","Rab3b"
"35","Slc6a11","Rragd","Trak2","Ptprz1","Npr1"
"36","Adk","Kcnj4","Ppfia1","Aldoc","Syt7"
"37","Nrxn1","Nsg2","Mest","Ahcyl1","Spock1"
"38","Gstm1","Meis2","Slc7a11","Qk","Lhfpl3"
"39","Impact","Pcp4l1","Phgdh","Pon2","Nefl"
"40","Zic2","Mapk1","Vim","S1pr1","Thsd7a"
"41","Sept3","Camk4","Unc13c","Fgf1","Plcxd2"
"42","Prss23","Map2k1","Cldn5","Zcchc24","Rab26"
"43","Iqsec3","Cx3cl1","Npy","Cst3","Doc2g"
"44","Pde1c","Arf3","Igfbp4","Slc4a4","Arhgdig"
"45","Mtss1l","Celf5","Vtn","Arap2","Sncb"
"46","Myo6","Bcl11b","Mfap3l","Myo6","Cbln1"
"47","Dner","Abl2","Ccnd1","Myo5a","Elavl4"
"48","Mgll","Ppp3ca","Phldb2","Scn1b","Kif1b"
"49","Rab3c","Smarcd1","Tspan15","Mgll","Cplx1"
"50","Bcan","Cnih3","Cebpd","Sfxn5","Selm"
